SDL2 initialized
SDL2 version: SDL-release-2.28.4-0-gcc016b004
SDL2 renderer created
SDL2 GPU created
SDL2 image initialized
SDL2 mixer initialized
SDL2 window created
Engine post init
RAM Usage: 43
CPU Used: 0.000000
RAM Usage: 55
CPU Used: 20.529931
RAM Usage: 62
CPU Used: 12.878060
RAM Usage: 80
CPU Used: 12.293284
RAM Usage: 87
CPU Used: 12.486213
RAM Usage: 92
CPU Used: 12.495610
RAM Usage: 99
CPU Used: 12.476682
RAM Usage: 127
CPU Used: 12.488171
RAM Usage: 134
CPU Used: 12.681029
RAM Usage: 141
CPU Used: 12.488919
RAM Usage: 148
CPU Used: 12.880824
RAM Usage: 155
CPU Used: 12.486094
RAM Usage: 162
CPU Used: 12.683083
RAM Usage: 212
CPU Used: 12.659245
RAM Usage: 218
CPU Used: 12.898793
RAM Usage: 225
CPU Used: 12.102650
RAM Usage: 232
CPU Used: 13.068375
RAM Usage: 239
CPU Used: 12.487329
RAM Usage: 246
CPU Used: 12.480608
RAM Usage: 253
CPU Used: 12.687434
RAM Usage: 260
CPU Used: 12.292022
RAM Usage: 267
CPU Used: 12.693527
RAM Usage: 274
CPU Used: 12.480981
RAM Usage: 281
CPU Used: 12.292389
RAM Usage: 288
CPU Used: 12.873949
RAM Usage: 295
CPU Used: 12.882249
RAM Usage: 301
CPU Used: 12.874457
RAM Usage: 394
CPU Used: 12.480178
RAM Usage: 400
CPU Used: 12.694462
RAM Usage: 407
CPU Used: 12.290572
RAM Usage: 414
CPU Used: 12.684338
RAM Usage: 421
CPU Used: 12.679810
RAM Usage: 428
CPU Used: 12.485764
RAM Usage: 435
CPU Used: 12.694303
RAM Usage: 442
CPU Used: 12.656087
RAM Usage: 449
CPU Used: 12.516242
RAM Usage: 456
CPU Used: 12.668238
RAM Usage: 463
CPU Used: 12.488079
RAM Usage: 470
CPU Used: 11.695161
SDL2 quit
